Area_ID,Country,Level 1,Area,Start_year,avg_pop_phase_1,avg_pop_phase_2,avg_pop_phase_3,avg_pop_phase_4,avg_pop_phase_5
"AFG_Badakhshan_CLS1:Arkhanj khwah, Eshkashim, Shignan",AFG,Badakhshan,"CLS1:Arkhanj khwah, Eshkashim, Shignan",2017,0.05,0.5,0.15,0.3,0.0
"AFG_Badakhshan_CLS2: Daewaz-I-Bala, Darwaz-I-Payin, Kufab, Shiki",AFG,Badakhshan,"CLS2: Daewaz-I-Bala, Darwaz-I-Payin, Kufab, Shiki",2017,0.1,0.2,0.35,0.35,0.0
"AFG_Badakhshan_CLS3: Wakhan, Zebak",AFG,Badakhshan,"CLS3: Wakhan, Zebak",2017,0.15,0.25,0.25,0.35,0.0
"AFG_Badakhshan_CLS4: Kiran wa menjan,Yamgan",AFG,Badakhshan,"CLS4: Kiran wa menjan,Yamgan",2017,0.05,0.17,0.37,0.41,0.0
"AFG_Badakhshan_CLS5: Kohistan. Raghistan, Yawan",AFG,Badakhshan,"CLS5: Kohistan. Raghistan, Yawan",2017,0.1,0.15,0.3,0.45,0.0
"AFG_Badakhshan_CLS6: Argo, Darayim, Khash, Yaftal-I-sufla:",AFG,Badakhshan,"CLS6: Argo, Darayim, Khash, Yaftal-I-sufla:",2017,0.28,0.27,0.3,0.15,0.0
"AFG_Badakhshan_CLS7:Shuhada, Tagab, Tashkan, Wardooj",AFG,Badakhshan,"CLS7:Shuhada, Tagab, Tashkan, Wardooj",2017,0.31,0.24,0.3,0.15,0.0
"AFG_Badakhshan_CLS8: Baharak, Jurm, Kishm, Faiz Abad",AFG,Badakhshan,"CLS8: Baharak, Jurm, Kishm, Faiz Abad",2017,0.1,0.45,0.3,0.15,0.0
"AFG_Badakhshan_CLS9: Khwahan, Shahri Buzurg",AFG,Badakhshan,"CLS9: Khwahan, Shahri Buzurg",2017,0.3,0.25,0.3,0.15,0.0
"AFG_Baghlan_CLS1: Firing wa gharu, Gozargah-I-Noor, Khost wa firing",AFG,Baghlan,"CLS1: Firing wa gharu, Gozargah-I-Noor, Khost wa firing",2017,0.28,0.37,0.12,0.04,0.0
"AFG_Baghlan_CLS2: Andara, Deh Salah, Khinjan, Pul-I-hisar",AFG,Baghlan,"CLS2: Andara, Deh Salah, Khinjan, Pul-I-hisar",2017,0.12,0.37,0.4,0.11,0.0
"AFG_Baghlan_CLS3:Baghlan-I-Jadid, Dahna-I-ghuri, Dushi, Puli Khumri",AFG,Baghlan,"CLS3:Baghlan-I-Jadid, Dahna-I-ghuri, Dushi, Puli Khumri",2017,0.35,0.46,0.15,0.04,0.0
AFG_Baghlan_CLS4: Tala wa barfak,AFG,Baghlan,CLS4: Tala wa barfak,2017,0.24,0.27,0.45,0.04,0.0
"AFG_Baghlan_CLS5: Burka, Jalga, Nahreen",AFG,Baghlan,"CLS5: Burka, Jalga, Nahreen",2017,0.32,0.5,0.15,0.03,0.0
AFG_Kunar_Kunar c_1,AFG,Kunar,Kunar c_1,2017,0.31,0.29,0.27,0.1,0.0
AFG_Kunar_Kunar c_2,AFG,Kunar,Kunar c_2,2017,0.54,0.32,0.09,0.04,0.0
AFG_Kunar_Kunar c_3,AFG,Kunar,Kunar c_3,2017,0.43,0.37,0.08,0.08,0.0
AFG_Kunar_Kunar c_4,AFG,Kunar,Kunar c_4,2017,0.5,0.32,0.08,0.08,0.0
AFG_Kunar_Kunar c_5,AFG,Kunar,Kunar c_5,2017,0.41,0.34,0.14,0.07,0.0
"AFG_Kunduz_CLS1: Ali Abad, Kunduz",AFG,Kunduz,"CLS1: Ali Abad, Kunduz",2017,0.43,0.4,0.09,0.08,0.0
"AFG_Kunduz_CLS2: Char Darah, Khan Abad",AFG,Kunduz,"CLS2: Char Darah, Khan Abad",2017,0.38,0.44,0.17,0.01,0.0
"AFG_Kunduz_CLS3: Dasht-I-Archi, Imam Sahib, Qala-I-Zal",AFG,Kunduz,"CLS3: Dasht-I-Archi, Imam Sahib, Qala-I-Zal",2017,0.45,0.31,0.17,0.07,0.0
AFG_Laghman_Laghman c_1,AFG,Laghman,Laghman c_1,2017,0.33,0.5,0.08,0.07,0.0
AFG_Laghman_Laghman c_2,AFG,Laghman,Laghman c_2,2017,0.25,0.37,0.25,0.11,0.0
AFG_Laghman_Laghman c_3,AFG,Laghman,Laghman c_3,2017,0.39,0.22,0.25,0.12,0.0
AFG_Nangarhar_Nangarhar c_1,AFG,Nangarhar,Nangarhar c_1,2017,0.32,0.49,0.07,0.1,0.0
AFG_Nangarhar_Nangarhar c_2,AFG,Nangarhar,Nangarhar c_2,2017,0.25,0.39,0.25,0.1,0.0
AFG_Nangarhar_Nangarhar c_3,AFG,Nangarhar,Nangarhar c_3,2017,0.4,0.2,0.28,0.11,0.0
AFG_Nangarhar_Nangarhar c_4,AFG,Nangarhar,Nangarhar c_4,2017,0.33,0.42,0.12,0.12,0.0
AFG_Nangarhar_Nangarhar c_5,AFG,Nangarhar,Nangarhar c_5,2017,0.35,0.46,0.1,0.07,0.0
AFG_Nangarhar_Nangarhar c_6,AFG,Nangarhar,Nangarhar c_6,2017,0.4,0.24,0.24,0.1,0.0
AFG_Nangarhar_Nangarhar c_7,AFG,Nangarhar,Nangarhar c_7,2017,0.32,0.49,0.09,0.07,0.0
AFG_Nangarhar_Nangarhar c_8,AFG,Nangarhar,Nangarhar c_8,2017,0.22,0.31,0.29,0.14,0.0
AFG_Nuristan_Nuristan c_1,AFG,Nuristan,Nuristan c_1,2017,0.35,0.5,0.1,0.03,0.0
AFG_Nuristan_Nuristan c_2,AFG,Nuristan,Nuristan c_2,2017,0.3,0.3,0.25,0.13,0.0
AFG_Nuristan_Nuristan c_3,AFG,Nuristan,Nuristan c_3,2017,0.4,0.42,0.09,0.07,0.0
"AFG_Takhar_CLS1: Farkhar, Warsaj",AFG,Takhar,"CLS1: Farkhar, Warsaj",2017,0.22,0.6,0.1,0.08,0.0
"AFG_Takhar_CLS2: Darqd,DashtQala,Khwjabahwdin,Khwajaghr,yangi",AFG,Takhar,"CLS2: Darqd,DashtQala,Khwjabahwdin,Khwajaghr,yangi",2017,0.15,0.3,0.4,0.15,0.0
"AFG_Takhar_CLS3: Chahab, Rustaq",AFG,Takhar,"CLS3: Chahab, Rustaq",2017,0.08,0.4,0.45,0.07,0.0
"AFG_Takhar_CLS4: Hazar Sumuch, Kalafgan",AFG,Takhar,"CLS4: Hazar Sumuch, Kalafgan",2017,0.15,0.3,0.45,0.1,0.0
"AFG_Takhar_CLS5: Baharak, Bangi, Eshkamesh, Taluqan",AFG,Takhar,"CLS5: Baharak, Bangi, Eshkamesh, Taluqan",2017,0.3,0.55,0.1,0.05,0.0
"AFG_Takhar_CLS6: Chal , Namak Ab",AFG,Takhar,"CLS6: Chal , Namak Ab",2017,0.16,0.27,0.4,0.17,0.0
AGO_Cahama_Kahama,AGO,Cahama,Kahama,2019,0.01,0.22,0.15,0.62,0.0
AGO_Cahama_Otchinjau,AGO,Cahama,Otchinjau,2019,0.18,0.26,0.25,0.3,0.0
AGO_Cuangar_Bondo,AGO,Cuangar,Bondo,2019,0.29,0.22,0.3,0.19,0.0
AGO_Cuangar_Cuangar,AGO,Cuangar,Cuangar,2019,0.36,0.3,0.21,0.13,0.0
AGO_Cuangar_Savate,AGO,Cuangar,Savate,2019,0.1,0.22,0.5,0.18,0.0
AGO_Cuanhama_Evale,AGO,Cuanhama,Evale,2019,0.02,0.5,0.18,0.3,0.0
AGO_Cuanhama_Kafima,AGO,Cuanhama,Kafima,2019,0.07,0.52,0.16,0.25,0.0
AGO_Cuanhama_Mongua,AGO,Cuanhama,Mongua,2019,0.27,0.35,0.18,0.2,0.0
AGO_Cuanhama_Oximolo,AGO,Cuanhama,Oximolo,2019,0.18,0.3,0.2,0.32,0.0
AGO_Cuchi_Chinguanja,AGO,Cuchi,Chinguanja,2019,0.09,0.16,0.6,0.15,0.0
AGO_Cuchi_Cuchi,AGO,Cuchi,Cuchi,2019,0.11,0.3,0.44,0.15,0.0
AGO_Cuchi_Kutato,AGO,Cuchi,Kutato,2019,0.11,0.25,0.49,0.15,0.0
AGO_Cunene_Cahama,AGO,Cunene,Cahama,2021,0.05,0.25,0.45,0.25,0.0
AGO_Cunene_Cuanhama,AGO,Cunene,Cuanhama,2021,0.3,0.3,0.35,0.05,0.0
AGO_Cunene_Curoca,AGO,Cunene,Curoca,2021,0.15,0.2,0.35,0.3,0.0
AGO_Cunene_Cuvelai,AGO,Cunene,Cuvelai,2021,0.15,0.4,0.4,0.05,0.0
AGO_Cunene_Namacunde,AGO,Cunene,Namacunde,2021,0.15,0.45,0.35,0.05,0.0
AGO_Cunene_Ombadja,AGO,Cunene,Ombadja,2021,0.1,0.25,0.45,0.2,0.0
AGO_Gambos (ex-Chiange)_Chiange,AGO,Gambos (ex-Chiange),Chiange,2019,0.2,0.25,0.25,0.3,0.0
AGO_Gambos (ex-Chiange)_Chimbemba,AGO,Gambos (ex-Chiange),Chimbemba,2019,0.16,0.21,0.22,0.41,0.0
AGO_Huíla_Chibia,AGO,Huíla,Chibia,2021,0.1,0.3,0.5,0.1,0.0
AGO_Huíla_Chicomba,AGO,Huíla,Chicomba,2021,0.1,0.35,0.4,0.15,0.0
AGO_Huíla_Humpata,AGO,Huíla,Humpata,2021,0.15,0.25,0.5,0.1,0.0
AGO_Huíla_Jamba,AGO,Huíla,Jamba,2021,0.2,0.25,0.45,0.1,0.0
AGO_Huíla_Município dos Gambos (ex-chiange),AGO,Huíla,Município dos Gambos (ex-chiange),2021,0.1,0.2,0.5,0.2,0.0
AGO_Huíla_Quilengues,AGO,Huíla,Quilengues,2021,0.2,0.3,0.4,0.1,0.0
AGO_Matala_Kapelongo,AGO,Matala,Kapelongo,2019,0.52,0.2,0.14,0.14,0.0
AGO_Matala_Matala,AGO,Matala,Matala,2019,0.5,0.25,0.15,0.1,0.0
AGO_Namibe_Bibala,AGO,Namibe,Bibala,2021,0.1,0.3,0.5,0.1,0.0
AGO_Namibe_Camucuio,AGO,Namibe,Camucuio,2021,0.1,0.2,0.5,0.2,0.0
AGO_Namibe_Mocamedes,AGO,Namibe,Mocamedes,2021,0.45,0.4,0.1,0.05,0.0
AGO_Namibe_Tômbwa (porto alexandre),AGO,Namibe,Tômbwa (porto alexandre),2021,0.15,0.3,0.4,0.15,0.0
AGO_Namibe_Virei,AGO,Namibe,Virei,2021,0.1,0.25,0.4,0.25,0.0
AGO_Ombadja_Humbe,AGO,Ombadja,Humbe,2019,0.42,0.25,0.18,0.15,0.0
AGO_Ombadja_Mukope,AGO,Ombadja,Mukope,2019,0.05,0.2,0.35,0.4,0.0
AGO_Ombadja_Naulila,AGO,Ombadja,Naulila,2019,0.1,0.3,0.3,0.3,0.0
AGO_Ombadja_Ombala yo mungu,AGO,Ombadja,Ombala yo mungu,2019,0.2,0.2,0.25,0.35,0.0
AGO_Quilengues_Dinde,AGO,Quilengues,Dinde,2019,0.25,0.48,0.22,0.05,0.0
AGO_Quilengues_Impulo,AGO,Quilengues,Impulo,2019,0.38,0.25,0.23,0.14,0.0
AGO_Quilengues_Quilengues,AGO,Quilengues,Quilengues,2019,0.36,0.48,0.08,0.08,0.0
BEN_Alibori_Banikoara,BEN,Alibori,Banikoara,2020,0.84,0.13,0.03,0.0,0.0
BEN_Alibori_Banikoara,BEN,Alibori,Banikoara,2021,0.91,0.09,0.0,0.0,0.0
BEN_Alibori_Banikoara,BEN,Alibori,Banikoara,2022,0.86,0.12,0.02,0.0,0.0
BEN_Alibori_Banikoara,BEN,Alibori,Banikoara,2023,0.89,0.095,0.015,0.0,0.0
BEN_Alibori_Banikoara,BEN,Alibori,Banikoara,2024,0.83,0.15,0.02,0.0,0.0
BEN_Alibori_Banikoara,BEN,Alibori,Banikoara,2025,0.83,0.15,0.02,0.0,0.0
BEN_Alibori_Gogounou,BEN,Alibori,Gogounou,2020,0.87,0.12,0.01,0.0,0.0
BEN_Alibori_Gogounou,BEN,Alibori,Gogounou,2021,0.88,0.12,0.0,0.0,0.0
BEN_Alibori_Gogounou,BEN,Alibori,Gogounou,2022,0.9099999999999999,0.08499999999999999,0.005,0.0,0.0
BEN_Alibori_Gogounou,BEN,Alibori,Gogounou,2023,0.875,0.105,0.02,0.0,0.0
BEN_Alibori_Gogounou,BEN,Alibori,Gogounou,2024,0.85,0.11,0.04,0.0,0.0
BEN_Alibori_Gogounou,BEN,Alibori,Gogounou,2025,0.83,0.14,0.03,0.0,0.0
BEN_Alibori_Kandi,BEN,Alibori,Kandi,2020,0.83,0.11,0.06,0.0,0.0
BEN_Alibori_Kandi,BEN,Alibori,Kandi,2021,0.9,0.1,0.0,0.0,0.0
BEN_Alibori_Kandi,BEN,Alibori,Kandi,2022,0.84,0.13,0.03,0.0,0.0
BEN_Alibori_Kandi,BEN,Alibori,Kandi,2023,0.895,0.09,0.015,0.0,0.0
BEN_Alibori_Kandi,BEN,Alibori,Kandi,2024,0.83,0.12,0.05,0.0,0.0
BEN_Alibori_Kandi,BEN,Alibori,Kandi,2025,0.87,0.09,0.04,0.0,0.0
BEN_Alibori_Karimama,BEN,Alibori,Karimama,2020,0.87,0.11,0.02,0.0,0.0
BEN_Alibori_Karimama,BEN,Alibori,Karimama,2021,0.82,0.16,0.02,0.0,0.0
BEN_Alibori_Karimama,BEN,Alibori,Karimama,2022,0.76,0.175,0.065,0.0,0.0
BEN_Alibori_Karimama,BEN,Alibori,Karimama,2023,0.6,0.28,0.12,0.0,0.0
BEN_Alibori_Karimama,BEN,Alibori,Karimama,2024,0.6,0.3,0.1,0.0,0.0
BEN_Alibori_Karimama,BEN,Alibori,Karimama,2025,0.85,0.11,0.04,0.0,0.0
BEN_Alibori_Malanville,BEN,Alibori,Malanville,2020,0.53,0.38,0.09,0.0,0.0
BEN_Alibori_Malanville,BEN,Alibori,Malanville,2021,0.84,0.15,0.01,0.0,0.0
BEN_Alibori_Malanville,BEN,Alibori,Malanville,2022,0.74,0.195,0.065,0.0,0.0
BEN_Alibori_Malanville,BEN,Alibori,Malanville,2023,0.8300000000000001,0.14,0.030000000000000002,0.0,0.0
BEN_Alibori_Malanville,BEN,Alibori,Malanville,2024,0.56,0.32,0.12,0.0,0.0
BEN_Alibori_Malanville,BEN,Alibori,Malanville,2025,0.82,0.13,0.05,0.0,0.0
BEN_Alibori_Segbana,BEN,Alibori,Segbana,2020,0.83,0.13,0.04,0.0,0.0
BEN_Alibori_Segbana,BEN,Alibori,Segbana,2021,0.91,0.09,0.0,0.0,0.0
BEN_Alibori_Segbana,BEN,Alibori,Segbana,2022,0.85,0.12,0.03,0.0,0.0
BEN_Alibori_Segbana,BEN,Alibori,Segbana,2023,0.885,0.1,0.015,0.0,0.0
BEN_Alibori_Segbana,BEN,Alibori,Segbana,2024,0.73,0.2,0.07,0.0,0.0
BEN_Alibori_Segbana,BEN,Alibori,Segbana,2025,0.83,0.15,0.02,0.0,0.0
BEN_Atacora_Boukombe,BEN,Atacora,Boukombe,2020,0.82,0.15,0.03,0.0,0.0
BEN_Atacora_Boukombe,BEN,Atacora,Boukombe,2021,0.88,0.12,0.0,0.0,0.0
BEN_Atacora_Boukombe,BEN,Atacora,Boukombe,2022,0.72,0.21000000000000002,0.06999999999999999,0.0,0.0
BEN_Atacora_Boukombe,BEN,Atacora,Boukombe,2023,0.7949999999999999,0.15,0.055,0.0,0.0
BEN_Atacora_Boukombe,BEN,Atacora,Boukombe,2024,0.795,0.155,0.049999999999999996,0.0,0.0
BEN_Atacora_Boukombe,BEN,Atacora,Boukombe,2025,0.89,0.1,0.01,0.0,0.0
BEN_Atacora_Kerou,BEN,Atacora,Kerou,2020,0.86,0.1,0.04,0.0,0.0
BEN_Atacora_Kerou,BEN,Atacora,Kerou,2021,0.92,0.08,0.0,0.0,0.0
BEN_Atacora_Kerou,BEN,Atacora,Kerou,2022,0.905,0.09,0.005,0.0,0.0
BEN_Atacora_Kerou,BEN,Atacora,Kerou,2023,0.865,0.095,0.04,0.0,0.0
BEN_Atacora_Kerou,BEN,Atacora,Kerou,2024,0.72,0.21,0.07,0.0,0.0
BEN_Atacora_Kerou,BEN,Atacora,Kerou,2025,0.86,0.1,0.04,0.0,0.0
BEN_Atacora_Kobli,BEN,Atacora,Kobli,2020,0.82,0.16,0.02,0.0,0.0
BEN_Atacora_Kobli,BEN,Atacora,Kobli,2021,0.9,0.1,0.0,0.0,0.0
BEN_Atacora_Kobli,BEN,Atacora,Kobli,2022,0.8,0.16499999999999998,0.035,0.0,0.0
BEN_Atacora_Kobli,BEN,Atacora,Kobli,2023,0.8400000000000001,0.125,0.035,0.0,0.0
BEN_Atacora_Kobli,BEN,Atacora,Kobli,2024,0.775,0.16999999999999998,0.055,0.0,0.0
BEN_Atacora_Kobli,BEN,Atacora,Kobli,2025,0.88,0.09,0.03,0.0,0.0
BEN_Atacora_Kouande,BEN,Atacora,Kouande,2020,0.83,0.12,0.05,0.0,0.0
BEN_Atacora_Kouande,BEN,Atacora,Kouande,2021,0.9,0.1,0.0,0.0,0.0
BEN_Atacora_Kouande,BEN,Atacora,Kouande,2022,0.91,0.09,0.0,0.0,0.0
BEN_Atacora_Kouande,BEN,Atacora,Kouande,2023,0.77,0.18,0.05,0.0,0.0
BEN_Atacora_Kouande,BEN,Atacora,Kouande,2024,0.69,0.24,0.07,0.0,0.0
BEN_Atacora_Kouande,BEN,Atacora,Kouande,2025,0.73,0.2,0.07,0.0,0.0
BEN_Atacora_Materi,BEN,Atacora,Materi,2020,0.74,0.2,0.06,0.0,0.0
BEN_Atacora_Materi,BEN,Atacora,Materi,2021,0.85,0.14,0.01,0.0,0.0
BEN_Atacora_Materi,BEN,Atacora,Materi,2022,0.7150000000000001,0.21,0.07,0.005,0.0
BEN_Atacora_Materi,BEN,Atacora,Materi,2023,0.7649999999999999,0.16999999999999998,0.055,0.01,0.0
BEN_Atacora_Materi,BEN,Atacora,Materi,2024,0.635,0.265,0.1,0.0,0.0
BEN_Atacora_Materi,BEN,Atacora,Materi,2025,0.87,0.09,0.04,0.0,0.0
BEN_Atacora_Natitingou,BEN,Atacora,Natitingou,2021,0.92,0.08,0.0,0.0,0.0
BEN_Atacora_Natitingou,BEN,Atacora,Natitingou,2022,0.65,0.25,0.1,0.0,0.0
BEN_Atacora_Natitingou,BEN,Atacora,Natitingou,2023,0.85,0.12000000000000001,0.03,0.0,0.0
BEN_Atacora_Natitingou,BEN,Atacora,Natitingou,2024,0.7849999999999999,0.165,0.05,0.0,0.0
BEN_Atacora_Natitingou,BEN,Atacora,Natitingou,2025,0.88,0.09,0.03,0.0,0.0
BEN_Atacora_Pehunco,BEN,Atacora,Pehunco,2020,0.86,0.11,0.03,0.0,0.0
BEN_Atacora_Pehunco,BEN,Atacora,Pehunco,2021,0.89,0.11,0.0,0.0,0.0
BEN_Atacora_Pehunco,BEN,Atacora,Pehunco,2022,0.88,0.11,0.01,0.0,0.0
BEN_Atacora_Pehunco,BEN,Atacora,Pehunco,2023,0.9,0.095,0.005,0.0,0.0
BEN_Atacora_Pehunco,BEN,Atacora,Pehunco,2024,0.67,0.24,0.09,0.0,0.0
BEN_Atacora_Pehunco,BEN,Atacora,Pehunco,2025,0.78,0.19,0.03,0.0,0.0
BEN_Atacora_Tanguieta,BEN,Atacora,Tanguieta,2020,0.82,0.16,0.02,0.0,0.0
BEN_Atacora_Tanguieta,BEN,Atacora,Tanguieta,2021,0.89,0.1,0.01,0.0,0.0
BEN_Atacora_Tanguieta,BEN,Atacora,Tanguieta,2022,0.735,0.195,0.06999999999999999,0.0,0.0
BEN_Atacora_Tanguieta,BEN,Atacora,Tanguieta,2023,0.765,0.175,0.06,0.0,0.0
BEN_Atacora_Tanguieta,BEN,Atacora,Tanguieta,2024,0.685,0.22,0.095,0.0,0.0
BEN_Atacora_Tanguieta,BEN,Atacora,Tanguieta,2025,0.78,0.19,0.03,0.0,0.0
BEN_Atacora_Toucountouna,BEN,Atacora,Toucountouna,2020,0.6,0.35,0.05,0.0,0.0
BEN_Atacora_Toucountouna,BEN,Atacora,Toucountouna,2021,0.91,0.09,0.0,0.0,0.0
BEN_Atacora_Toucountouna,BEN,Atacora,Toucountouna,2022,0.83,0.14500000000000002,0.025,0.0,0.0
BEN_Atacora_Toucountouna,BEN,Atacora,Toucountouna,2023,0.8200000000000001,0.14500000000000002,0.035,0.0,0.0
BEN_Atacora_Toucountouna,BEN,Atacora,Toucountouna,2024,0.63,0.28,0.09,0.0,0.0
BEN_Atacora_Toucountouna,BEN,Atacora,Toucountouna,2025,0.78,0.19,0.03,0.0,0.0
BEN_Atlantique_Abomey-calavi,BEN,Atlantique,Abomey-calavi,2022,0.83,0.12,0.05,0.0,0.0
BEN_Atlantique_Abomey-calavi,BEN,Atlantique,Abomey-calavi,2023,0.91,0.09,0.0,0.0,0.0
BEN_Atlantique_Abomey-calavi,BEN,Atlantique,Abomey-calavi,2024,0.8200000000000001,0.15,0.03,0.0,0.0
BEN_Atlantique_Abomey-calavi,BEN,Atlantique,Abomey-calavi,2025,0.87,0.1,0.03,0.0,0.0
BEN_Atlantique_Allada,BEN,Atlantique,Allada,2020,0.56,0.32,0.12,0.0,0.0
BEN_Atlantique_Allada,BEN,Atlantique,Allada,2022,0.48,0.3,0.22,0.0,0.0
BEN_Atlantique_Allada,BEN,Atlantique,Allada,2023,0.7949999999999999,0.16999999999999998,0.035,0.0,0.0
BEN_Atlantique_Allada,BEN,Atlantique,Allada,2024,0.835,0.14,0.025,0.0,0.0
BEN_Atlantique_Allada,BEN,Atlantique,Allada,2025,0.88,0.09,0.03,0.0,0.0
BEN_Atlantique_Kpomasse,BEN,Atlantique,Kpomasse,2020,0.67,0.28,0.05,0.0,0.0
BEN_Atlantique_Kpomasse,BEN,Atlantique,Kpomasse,2022,0.685,0.22499999999999998,0.09,0.0,0.0
BEN_Atlantique_Kpomasse,BEN,Atlantique,Kpomasse,2023,0.815,0.14500000000000002,0.04,0.0,0.0
BEN_Atlantique_Kpomasse,BEN,Atlantique,Kpomasse,2024,0.815,0.14500000000000002,0.04,0.0,0.0
BEN_Atlantique_Kpomasse,BEN,Atlantique,Kpomasse,2025,0.88,0.09,0.03,0.0,0.0
BEN_Atlantique_Ouidah,BEN,Atlantique,Ouidah,2020,0.83,0.16,0.01,0.0,0.0
BEN_Atlantique_Ouidah,BEN,Atlantique,Ouidah,2022,0.755,0.185,0.060000000000000005,0.0,0.0
BEN_Atlantique_Ouidah,BEN,Atlantique,Ouidah,2023,0.92,0.08,0.0,0.0,0.0
BEN_Atlantique_Ouidah,BEN,Atlantique,Ouidah,2024,0.87,0.1,0.03,0.0,0.0
BEN_Atlantique_Ouidah,BEN,Atlantique,Ouidah,2025,0.89,0.08,0.03,0.0,0.0
BEN_Atlantique_So-ava,BEN,Atlantique,So-ava,2022,0.6,0.3,0.1,0.0,0.0
BEN_Atlantique_So-ava,BEN,Atlantique,So-ava,2023,0.7,0.2,0.1,0.0,0.0
BEN_Atlantique_So-ava,BEN,Atlantique,So-ava,2024,0.7,0.22,0.08,0.0,0.0
BEN_Atlantique_So-ava,BEN,Atlantique,So-ava,2025,0.9,0.07,0.03,0.0,0.0
BEN_Atlantique_Toffo,BEN,Atlantique,Toffo,2020,0.53,0.35,0.12,0.0,0.0
BEN_Atlantique_Toffo,BEN,Atlantique,Toffo,2022,0.655,0.2,0.125,0.02,0.0
BEN_Atlantique_Toffo,BEN,Atlantique,Toffo,2023,0.855,0.11499999999999999,0.030000000000000002,0.0,0.0
BEN_Atlantique_Toffo,BEN,Atlantique,Toffo,2024,0.77,0.18,0.05,0.0,0.0
BEN_Atlantique_Toffo,BEN,Atlantique,Toffo,2025,0.89,0.08,0.03,0.0,0.0
BEN_Atlantique_Tori-bossito,BEN,Atlantique,Tori-bossito,2020,0.72,0.22,0.06,0.0,0.0
BEN_Atlantique_Tori-bossito,BEN,Atlantique,Tori-bossito,2022,0.76,0.16999999999999998,0.06999999999999999,0.0,0.0
BEN_Atlantique_Tori-bossito,BEN,Atlantique,Tori-bossito,2023,0.76,0.18,0.06,0.0,0.0
BEN_Atlantique_Tori-bossito,BEN,Atlantique,Tori-bossito,2024,0.84,0.13,0.03,0.0,0.0
BEN_Atlantique_Tori-bossito,BEN,Atlantique,Tori-bossito,2025,0.86,0.1,0.04,0.0,0.0
BEN_Atlantique_Ze,BEN,Atlantique,Ze,2020,0.62,0.3,0.08,0.0,0.0
BEN_Atlantique_Ze,BEN,Atlantique,Ze,2022,0.71,0.215,0.075,0.0,0.0
BEN_Atlantique_Ze,BEN,Atlantique,Ze,2023,0.86,0.12,0.02,0.0,0.0
BEN_Atlantique_Ze,BEN,Atlantique,Ze,2024,0.7749999999999999,0.18,0.045,0.0,0.0
BEN_Atlantique_Ze,BEN,Atlantique,Ze,2025,0.91,0.07,0.02,0.0,0.0
BEN_Borgou_Bembereke,BEN,Borgou,Bembereke,2020,0.87,0.13,0.0,0.0,0.0
BEN_Borgou_Bembereke,BEN,Borgou,Bembereke,2022,0.9199999999999999,0.07,0.01,0.0,0.0
BEN_Borgou_Bembereke,BEN,Borgou,Bembereke,2023,0.89,0.095,0.015,0.0,0.0
BEN_Borgou_Bembereke,BEN,Borgou,Bembereke,2024,0.84,0.13,0.03,0.0,0.0
BEN_Borgou_Bembereke,BEN,Borgou,Bembereke,2025,0.85,0.11,0.04,0.0,0.0
BEN_Borgou_Kalale,BEN,Borgou,Kalale,2020,0.83,0.17,0.0,0.0,0.0
BEN_Borgou_Kalale,BEN,Borgou,Kalale,2022,0.855,0.12000000000000001,0.025,0.0,0.0
BEN_Borgou_Kalale,BEN,Borgou,Kalale,2023,0.885,0.1,0.015,0.0,0.0
BEN_Borgou_Kalale,BEN,Borgou,Kalale,2024,0.9,0.08,0.02,0.0,0.0
BEN_Borgou_Kalale,BEN,Borgou,Kalale,2025,0.87,0.09,0.04,0.0,0.0
BEN_Borgou_N'dali,BEN,Borgou,N'dali,2020,0.86,0.13,0.01,0.0,0.0
BEN_Borgou_N'dali,BEN,Borgou,N'dali,2022,0.865,0.12,0.015,0.0,0.0
BEN_Borgou_N'dali,BEN,Borgou,N'dali,2023,0.88,0.105,0.015,0.0,0.0
BEN_Borgou_N'dali,BEN,Borgou,N'dali,2024,0.79,0.2,0.01,0.0,0.0
BEN_Borgou_N'dali,BEN,Borgou,N'dali,2025,0.88,0.1,0.02,0.0,0.0
BEN_Borgou_Nikki,BEN,Borgou,Nikki,2020,0.87,0.13,0.0,0.0,0.0
BEN_Borgou_Nikki,BEN,Borgou,Nikki,2022,0.845,0.125,0.03,0.0,0.0
BEN_Borgou_Nikki,BEN,Borgou,Nikki,2023,0.91,0.08499999999999999,0.005,0.0,0.0
BEN_Borgou_Nikki,BEN,Borgou,Nikki,2024,0.87,0.11,0.02,0.0,0.0
BEN_Borgou_Nikki,BEN,Borgou,Nikki,2025,0.88,0.09,0.03,0.0,0.0
BEN_Borgou_Parakou,BEN,Borgou,Parakou,2022,0.86,0.1,0.04,0.0,0.0
BEN_Borgou_Parakou,BEN,Borgou,Parakou,2023,0.9,0.08,0.02,0.0,0.0
BEN_Borgou_Parakou,BEN,Borgou,Parakou,2024,0.76,0.22,0.02,0.0,0.0
BEN_Borgou_Parakou,BEN,Borgou,Parakou,2025,0.83,0.14,0.03,0.0,0.0
BEN_Borgou_Perere,BEN,Borgou,Perere,2020,0.85,0.13,0.02,0.0,0.0
BEN_Borgou_Perere,BEN,Borgou,Perere,2022,0.855,0.11,0.035,0.0,0.0
BEN_Borgou_Perere,BEN,Borgou,Perere,2023,0.86,0.11499999999999999,0.025,0.0,0.0
BEN_Borgou_Perere,BEN,Borgou,Perere,2024,0.76,0.2,0.04,0.0,0.0
