Area_ID,year,Country,Level1,Area,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,band_32,band_33,band_34,band_35,band_36,band_37,band_38,band_39,band_40,band_41,band_42,band_43,band_44,band_45,band_46,band_47,band_48,band_49,band_50,band_51,band_52,band_53,band_54,band_55,band_56,band_57,band_58,band_59,band_60,band_61,band_62,band_63,avg_pop_phase_1,avg_pop_phase_2,avg_pop_phase_3,avg_pop_phase_4,avg_pop_phase_5
AFG_Badakhshan,2017,AFG,Badakhshan,Badakhshan,-0.067531833194694,-0.1390638177355049,-0.0336872295380153,-0.1100999175440938,0.0149421447551211,0.1168229299475061,0.0718761545499202,0.0649662508608833,-0.1209051059343088,0.1294485058526314,-0.0419148914325121,0.0453220280577034,-0.0003925616388026,-0.0189527825122776,-0.1985596361050288,0.0451205100345794,-0.0058490935399921,0.0944207352604852,0.0302485023265237,-0.1593712758390436,0.0814214858725302,-0.0839884789988419,0.0063571237826108,-0.1456503545678756,0.0161496353296861,0.0075249220279143,-0.0419205001053845,0.0638336241289373,0.0334268658240328,0.0380726573767187,0.0454119008697284,0.1887833503438173,0.0462771154869534,-0.0554401846635885,-0.0174735310880059,-0.1240322268769466,0.0108790357814401,0.004171826503442,-0.2042504600261777,0.0550419305555266,-0.0547110479145821,0.1010670953378132,-0.0940311004405917,-0.2502952219864189,0.1118614319992412,0.1700185653315522,0.0016695163724616,-0.0020992243630792,-0.098361477521006,0.0134658553157276,0.0358898700113972,-0.0028926816761687,0.0450123889886482,0.1309549365405445,0.3275247376617938,0.0670152252012883,-0.2379678842480826,-0.2261480501956712,-0.0834298481298907,-0.0217841891064166,-0.0536797146975687,0.0745748059671125,-0.1127827237528733,0.1010051038943683,0.16,0.2755555555555555,0.2911111111111111,0.2733333333333333,0.0
AFG_Baghlan,2017,AFG,Baghlan,Baghlan,0.0303048589332828,0.0026645326733925,0.0352091590818859,-0.1063257418804721,0.0687572369775994,0.108504572903038,0.0930281765512428,0.0744121274811285,-0.2105099120636877,0.0329502146272372,0.0047926305738708,-0.0275536948043163,-0.1154822490070573,-0.0096821302788034,-0.1071959999224004,-0.0306502167319285,-0.0285348695342496,0.1026665014649693,0.0622588481278556,-0.153187291729659,0.0273815352980201,-0.1246131379256815,-0.0522404889176389,-0.1126292919499894,0.0111877724615075,0.0474849549377671,-0.020695796231853,0.0154706287353853,0.0488745204030143,0.1433269290357863,0.0978837627486834,0.1582126809197752,0.1546892192566639,-0.0413551078608058,-0.0321099773838136,-0.0543692414072906,-0.0041955579049263,0.0406769411158396,-0.2087249194082571,0.0767200349246827,-0.001988907379127,0.022993203453665,-0.0012880482958348,-0.3460741431093434,0.1181254918957485,0.1082653636948333,0.0633543237795923,0.0117440848800122,-0.1270553524710426,-0.0695940384328199,0.0137681645008646,-0.0422544931039314,0.0734935920165214,0.0513035373543998,0.2733753400030567,0.0860512195441657,-0.1955312662520719,-0.191190839809683,-0.096288515794432,0.0356767914882534,0.0188169781906443,-0.0434496542448983,-0.0450442692598642,0.0754386158662502,0.262,0.394,0.254,0.052,0.0
AFG_Kunar,2017,AFG,Kunar,Kunar,0.1041151813604104,-0.0436486346416935,0.0111219216988062,-0.0246970140462693,0.0856406435685934,-0.0116199521846086,-0.0332491020509795,0.1430045880118345,-0.1531707874027102,0.0229430156111008,0.0181258155045205,0.0245689782801858,-0.1128945948473226,-0.0437771546249068,-0.0204485726014748,-0.0989641776042107,-0.0801819948743633,0.1868841801681213,-0.0102246415063964,-0.0710657255703982,0.0213416063211371,-0.0859540490263262,0.023190046484703,-0.1086383177127169,0.0127821266134933,0.0226293944610524,-0.1255175171050122,-0.007336238825954,0.118200288284897,0.1102925727508523,0.1020799143299212,0.1930249599288404,0.1296005653594483,0.0864351197950377,-0.0582250749267744,0.0190083728787926,-0.0610924704682637,0.0282129771527773,-0.1357744058242715,0.144083508600001,-0.1005845156316734,0.0936264221098732,-0.0326553242116124,-0.2508710683049917,0.0601520779867315,0.1373518677739702,0.0060557816396759,0.1575290659986149,-0.0444839836732307,-0.0378144244272079,0.046958852160951,-0.0612909002892015,0.0784694747984428,0.1742273334676638,0.2875235163847976,0.0675495154275233,-0.2199293293823584,-0.131511413630489,-0.1138637298243396,-0.0468660282057001,0.0583452302489109,-0.0444522980682233,0.0069617821027399,0.0678666375789024,0.438,0.328,0.132,0.074,0.0
AFG_Kunduz,2017,AFG,Kunduz,Kunduz,0.1848584791135914,0.0665570442191,0.1416721741789274,-0.0181930437511251,0.1607330852434958,0.0820223299525615,0.0456511090412084,0.0733102380771361,-0.1922864092164407,0.0451101007810664,0.0557329517480408,-0.0845459578467897,-0.2308578045634967,-0.0195175247168819,-0.0551890987807791,-0.0288098947542677,-0.0709942524218296,-0.0607601125138957,0.0878815180778828,-0.128732674462801,-0.0613378493274599,-0.0737561624572094,-0.1436379388993586,-0.0327944274071524,0.0040444976791543,0.1576140032932357,0.0944416525842065,0.0041158515052408,0.1103047276070302,0.0742306777258308,0.0448287245389672,0.0402920894599292,0.2221163352145116,-0.155503188711322,-0.1338119540598758,0.0033075652257523,-0.0230340572187129,0.1202442524066981,-0.1167353475934306,0.0497438780540408,0.0657416305436599,-0.0966813987463987,0.1418278589496961,-0.3822153047516559,0.0565395676369846,0.0485778509182467,0.0494474703104867,-0.0517064878053953,-0.0609729463672822,-0.0580006665490593,0.0010024221519802,-0.0296630640307432,0.0428067674089085,-0.1508321693611196,0.1091905778810689,-0.0007542214078109,0.0089419993407136,-0.0935109877139105,-0.1108998558688316,0.1009224053801456,0.0819259955327232,-0.0848102651750199,-0.0141327386279905,0.073851061771682,0.42,0.3833333333333333,0.1433333333333333,0.0533333333333333,0.0
AFG_Laghman,2017,AFG,Laghman,Laghman,0.1246667974255475,0.0669064340949488,0.011803248348455,0.0083875492479494,0.0678395355947232,0.0019499326969431,0.0065253309479536,0.0787033820768612,-0.2186492507900619,0.0046996063585929,0.0520749706031933,0.0095605504748592,-0.1347787218056828,-0.0607177333376776,-0.0438824807692233,-0.0921160666994003,-0.0097874181736186,0.1621199911754656,0.0634669972996522,-0.0729947177086133,-0.0013452708907786,-0.0792972094656088,-0.059575052149137,-0.1194494785559342,-0.0571072086728566,0.0574323364217517,-0.10189885765249,-0.0238824051588604,0.1180532272043554,0.1448342112895809,0.1251057155571494,0.133154749008681,0.1341048520166177,-0.0155746352560652,-0.0450017800764458,0.0342706834876405,-0.0681788481665124,0.0035837434279641,-0.2089395811510587,0.1425603299643443,0.0158622331161302,0.0698663289379789,-0.0140872670669123,-0.2868943754889366,0.0751614290441395,0.0863956471178283,0.039603805862662,0.0930331792168668,-0.0878380106614751,-0.0368592526242634,0.0063226266861176,-0.0436594659339262,0.0677860305036447,0.0522520754225172,0.2691477474325056,0.1120230814554569,-0.1809891083143521,-0.1077563771013562,-0.0794707814479232,-0.0617273680531001,0.0103883060945715,-0.0619063397619586,-0.049016722746045,0.0804220185341774,0.3233333333333333,0.3633333333333333,0.1933333333333333,0.0999999999999999,0.0
AFG_Nangarhar,2017,AFG,Nangarhar,Nangarhar,0.139258568167828,0.1002095755524172,0.0114031492430814,0.0418623397125558,0.0780106794757044,-0.0012652876002088,0.0026405742392821,0.0490788448218304,-0.2570043865330694,-0.0006610391736507,0.0807409506123919,0.0103874716897155,-0.1591925414180801,-0.0668806756046817,-0.0145431656365432,-0.1150747688248199,0.0101909383590115,0.1528603768963247,0.0511286833243175,-0.0428913924186967,-0.0225558217008058,-0.0710044892866129,-0.0869625359276461,-0.1090986162429669,-0.0908402369622862,0.0885917152088009,-0.1069933468211666,-0.0519745981850094,0.1387148131288688,0.1594626266985981,0.1078114886844764,0.0931445985202025,0.1467295605643969,-0.0925499509631929,-0.013560408711068,0.0560221517584678,-0.0487541881217251,-0.024590427981815,-0.2188391061144301,0.1523470732066299,0.0666214636237623,0.0245313068769704,0.0109456873804212,-0.2820112895033456,0.0717834580181452,0.0425203992729649,0.0580702974488876,0.1112697528950267,-0.0589477419190269,-0.0141129192780697,-0.0170492749015634,-0.0257579569093262,0.0835387459168213,0.013219726716292,0.2662902070643598,0.1334778584144258,-0.1450995321094359,-0.1104611125808249,-0.0967778420353359,-0.0987343451909356,0.0096396450795204,-0.0932413659046365,-0.0466812754474534,0.1078827825579738,0.32375,0.375,0.18,0.10125,0.0
AFG_Nuristan,2017,AFG,Nuristan,Nuristan,-0.0384141132359081,-0.1309100855992376,-0.0448801042918779,-0.0875997452998989,0.0204580520570084,0.0410000803963381,0.036620610892468,0.1006082372380957,-0.1137106986294116,0.1148861487221151,-0.0465636260170538,0.061244097784825,-0.0034612129198311,-0.0225019167641456,-0.2026510744822663,0.0283172224839524,-0.0220280419813648,0.1363817743440416,-0.0027954926241126,-0.1417298117687478,0.1032805300658689,-0.0960351407671691,0.0217785491025479,-0.1670441486247928,0.0153476226817765,-0.0117377118732794,-0.0570014782167004,0.0488754913189933,0.0735274711960435,0.0462307932716058,0.081730011933804,0.1841561113667336,0.0351811120999878,0.0218862156827749,-0.0419458512104193,-0.0792749734941419,-0.0355303173825331,0.0299200691313978,-0.1967792955792786,0.0664716618044121,-0.1040266294083086,0.1276400096382129,-0.1267598172550177,-0.2485270948961506,0.0876536531925457,0.2039797498517792,-0.0246167205785209,0.0338703736266195,-0.0899312123750226,0.0169131008522325,0.0522110218265148,-0.0101003810969096,0.0274586567634351,0.1780068556478186,0.3244652702344792,0.064117323869688,-0.2653977446126843,-0.2069344318768808,-0.0504110710372092,-0.0406581100301022,-0.0470682083241975,0.1177233451820611,-0.0587527347088614,0.0670394747718246,0.35,0.4066666666666667,0.1466666666666666,0.0766666666666666,0.0
AFG_Takhar,2017,AFG,Takhar,Takhar,0.0484898114958051,-0.0031482393680848,0.0560605609102573,-0.1259793826138124,0.1030838258649023,0.1149293517458055,0.0952603752799259,0.0693834051744516,-0.2012492334358712,0.0175327361453527,0.0042685316860414,-0.0217404645742669,-0.137271354525205,-0.0015778207447857,-0.1014797688606951,-0.0390339119005438,-0.0316297273848252,0.0637836516557127,0.0436345905149302,-0.1441577739992766,0.0186641031411451,-0.0843096601135288,-0.0471951634955064,-0.0961572482090881,0.0238210066181618,0.0548479160444965,-0.0341181026671195,0.0233895191173387,0.0641395593464179,0.1321077296492378,0.0883067059196139,0.1251710502238331,0.1780562934053248,-0.0790346161940222,-0.0472210638415962,-0.043494467483142,-0.0180820623179626,0.0599896568122823,-0.1888558806508828,0.0818573222798345,-0.0403105045280354,0.0141470928817785,0.017306620366101,-0.3501331043844612,0.108948983866619,0.0987078760873549,0.0628948633246905,0.0282490106830312,-0.0980641870866657,-0.0423520983547654,0.0139973032266125,-0.0251644661080037,0.0738286047817561,0.0203552349321706,0.2543852888548882,0.0782660897215834,-0.1508005361521606,-0.1883111736311176,-0.1244933616821588,0.0615019946927186,0.0335468081887319,-0.0817964482315728,-0.0356616038072854,0.0954104036202446,0.1766666666666666,0.4033333333333333,0.3166666666666667,0.1033333333333333,0.0
BFA_Centre,2017,BFA,Centre,Centre,-0.0005936849481305,0.0397989992333306,0.2723691472668945,-0.0063159304890411,-0.1925824446259728,0.0591380551462794,-0.146049386022507,0.0662522006871837,-0.1680953045101283,-0.0994469897838835,-0.0444073765267286,-0.0400089467020917,-0.1433180670932046,-0.0121859039722737,-0.0348508787941114,0.1595851295713893,-0.0041644828638459,0.0919712866427673,-0.0673619679478962,0.2204086383688207,-0.1408313342430993,0.0282242445086836,0.1950160589530737,0.1514911231519229,0.0234877709756602,0.0263465346500299,0.107393533757307,-0.0272348362141251,-0.1478066627850491,0.1349225349498162,-0.0364876146945251,0.0222549796625318,-0.1553276067533129,-0.0916562660009826,-0.072436229163374,-0.053822093041791,-0.249635051648189,0.1502372070869139,0.1909258902284325,-0.0307732393385069,0.1834315647929804,-0.0952321057334849,-0.1545925700188778,0.0703764430670802,-0.0829948982791867,0.109309840504866,-0.0242968086747235,-0.0217144220546256,-0.1479529943410397,-0.1409835328423166,0.1360028673924673,0.1222455317668204,-0.0555180026091213,-0.0732439481982631,0.1531803522058775,0.0931466458531297,0.0926834524892796,0.133849234729632,-0.2299394459891919,-0.1166269417859615,-0.1785667030723948,0.0462936913385737,0.0855255052874027,0.1139834459559653,0.35,0.43,0.16,0.03,0.0
CMR_Centre,2017,CMR,Centre,Centre,0.1376647046621732,-0.0152602125817879,0.0314566407795219,-0.0060244529089323,0.0996414981648115,-0.1055229093820483,-0.1319161678778036,0.0860097859501723,-0.0512232645721882,0.1098757445458685,0.0541988094700275,0.0021235819442881,-0.2481001804979757,-0.0063160888236376,-0.0730781782221576,-0.1636993810763459,-0.0977256087500355,-0.0239009075027704,-0.2253337001305385,0.0627410812550375,-0.1275273120588999,0.0313174425945507,0.2118408982681028,0.1730136486861868,0.025332887777914,0.05377009942195,0.1518641357490918,-0.0891714011678385,-0.1508968462188511,0.0755023888421651,0.0058478967519328,0.0029170214374899,-0.1708437820781758,-0.013384026565227,0.2265306203160751,-0.0685011322679481,-0.1455313009288973,-0.0269484805441253,-0.0642238162272403,-0.1053276290099487,0.100593707389836,-0.0266629235486447,-0.1032767557773512,0.2676875649442105,-0.0342174321193464,-0.1201818852512497,-0.0748021830362853,0.0537542063682441,-0.1873651138647035,-0.002566089147205,0.1738312706343106,0.0457636733742081,0.0884274886378645,-0.0471913490462663,0.1733135623910164,0.1327440037235573,0.0124211449712098,-0.0416206558331635,-0.0086262885728362,0.066653510975916,-0.1702663945155655,-0.064323247541896,0.2077687510254839,0.0415148739609004,0.35,0.43,0.16,0.03,0.0
